manufacture_id,model_name
CM0001,M-05,Honda HR-V
CM0002,M-17,Toyota Rush
CM0003,M-03,Daihatsu Terios
CM0004,M-17,Toyota Fortuner
CM0005,M-15,Suzuki Ignis
CM0006,M-17,Toyota Avanza
CM0007,M-05,Honda Mobilio
CM0008,M-19,Wuling Confero
CM0009,M-17,Toyota Sienta
CM0010,M-12,Mitsubishi Xpander Cross
CM0011,M-13,Nissan Juke
CM0012,M-09,Mazda CX-3
CM0013,M-05,Honda Brio
CM0014,M-15,Suzuki Baleno GL
CM0015,M-17,Toyota Yaris
CM0016,M-09,Mazda 2
CM0017,M-05,Honda Jazz
CM0018,M-17,Toyota Corolla Altis
CM0019,M-17,Toyota Vios
CM0020,M-17,Toyota Camry
CM0021,M-09,Mazda 6
CM0022,M-05,Honda Civic Type-R
CM0023,M-02,BMW Series 3
CM0024,M-10,Mercedes-Benz C-Class
CM0025,M-01,Audi A5
CM0026,M-14,Porsche 718
CM0027,M-02,BMW Z4
CM0028,M-09,Mazda MX-5
CM0029,M-11,Mini Cabrio John Cooper Works
CM0030,M-10,Mercedes-Benz SLK-Class
CM0031,M-11,Mini Clubman Cooper S
CM0032,M-18,Volkswagen Golf
CM0033,M-10,Mercedes-Benz GLE-Class
CM0034,M-15,Suzuki Jimny
CM0035,M-07,Jeep Wrangler Sahara
CM0036,M-08,Land Rover Defender
CM0037,M-10,Mercedes-Benz G63 AMG
CM0038,M-17,Toyota Hilux G
CM0039,M-04,Ford Ranger XLT
CM0040,M-12,Mitsubishi Triton Exceed
CM0041,M-16,Tesla Model 3
CM0042,M-06,Hyundai IONIQ 5
CM0043,M-19,Wuling Air EV
CM0044,M-13,Nissan Kicks
CM0045,M-17,Toyota Camry Hybrid
CM0046,M-15,Suzuki Ertiga GX Hybrid
CM0047,M-17,Toyota Calya
CM0048,M-03,Daihatsu Sigra
